IdVenta,codigo
270618,"[729566, 723798]"
270619,"[714048, 915132, 664013, 847103]"
270620,"[730940, 302505]"
270621,[68304]
270622,[791061]
270623,"[659590, 678078, 660878, 939579, 688678, 729566, 655871, 651628, 655871]"
270624,[841056]
270625,"[694840, 665193]"
270626,"[658244, 658244, 710966, 658244]"
270627,[489047]
270628,[658540]
270629,"[673156, 654642, 663656]"
270630,"[663312, 884403, 663312, 755348]"
270631,"[722195, 655959, 701860, 658394, 678340, 659590]"
270632,"[665193, 672643, 662018, 654802, 700539]"
270633,"[712786, 653298, 679442]"
270634,[2]
270635,[714048]
270636,"[491126, 664013]"
270637,[787382]
270638,[658244]
270639,"[696931, 653298, 840488]"
270640,"[658244, 672661, 723798, 653445, 658244]"
270641,[654536]
270642,[651460]
270643,"[654536, 819060, 673731, 688678]"
270644,[181861]
270645,"[729566, 946582, 654285, 651460]"
270646,"[723500, 660250]"
270647,"[656706, 653297, 951269]"
270648,"[761788, 714014, 714014, 819060, 662018]"
270649,"[725298, 688725, 732058, 702686, 725422, 654402, 686296, 658395]"
270650,"[704308, 661081, 915884, 679489, 688760]"
270651,"[650389, 670938, 659144]"
270652,"[681769, 729566, 980755, 681769, 869735, 729566, 689966]"
270653,"[659590, 680454]"
270655,"[654542, 877399]"
270656,"[696060, 663941]"
270659,[86901]
270660,[175697]
270661,"[730483, 815241, 672900, 706414, 701357, 939579, 702969, 725298, 651319]"
270662,"[658512, 702116, 714048, 659590]"
270663,[187961]
270664,[349738]
270666,[720640]
270667,"[688704, 848531, 727065]"
270668,"[759281, 1]"
270669,"[75242, 748590]"
270670,[173861]
270671,"[723798, 659590, 654660, 729737, 672594, 494823]"
270672,[723362]
270673,[673769]
270674,[191801]
270675,[689941]
270676,[661614]
270677,[673798]
270678,[726569]
270679,[728316]
270680,"[654536, 713582, 768259]"
270681,[783605]
270682,[860213]
270683,"[678078, 721933]"
270684,[716415]
270685,"[177256, 155005]"
270686,"[659593, 656750]"
270687,[660259]
270688,[716767]
270689,[680410]
270690,"[733334, 997239, 678656]"
270691,"[710026, 999853, 451989]"
270692,"[681927, 659590, 725297, 654161, 724007, 999847]"
270693,"[739524, 654054, 869735, 952069, 707062, 669069]"
270694,[708395]
270695,"[164163, 906214]"
270696,[703194]
270697,[780684]
270698,"[75499, 75242]"
270699,"[844266, 715573]"
270700,"[183724, 177778]"
270701,"[819029, 664123, 702057, 664574]"
270702,"[915132, 482612, 482653, 659590, 679442, 709177, 667683, 663657, 667683]"
270704,[718445]
270705,[999725]
270706,[162882]
270707,"[761788, 723798]"
270708,"[699628, 699628, 978536]"
270709,"[705620, 659590, 706452, 702116, 677381, 797092, 662018]"
270710,"[713544, 656957, 661762, 759185]"
270711,[711180]
270712,"[400086, 672826, 779553]"
270713,[971747]
270714,[188370]
270715,[173102]
270716,[669796]
270717,"[664013, 651460]"
270718,[951269]
270719,[651460]
270720,"[659590, 692477, 656582]"
270721,[723798]
270722,"[791996, 755348, 664012]"
270723,"[702686, 673162, 673156]"
270724,"[661658, 951392, 660433, 951392, 661658]"
270725,[128397]
270726,"[704557, 659177, 723798]"
270727,[663954]
270728,[709178]
270729,[710217]
270730,[906214]
270731,[692466]
270732,[673162]
270733,"[664012, 651321]"
270734,"[658494, 688231, 654161, 650472]"
270735,"[719556, 659941, 167306, 702057, 755330]"
270736,"[701399, 680410, 671937, 715587]"
270737,"[690271, 664013]"
270738,"[694840, 869735]"
270739,"[672353, 730124, 998625]"
270740,"[706452, 840488]"
270741,"[491126, 491126, 400118, 491126, 491126, 400118, 400118, 486985, 400118]"
270742,[709156]
270743,[193525]
270744,[167885]
270745,"[176298, 672353, 726796]"
270746,[654681]
270747,"[999725, 723798, 755348, 726161, 915132, 999725, 939579, 688711, 767467]"
270748,[729566]
270749,"[656582, 727388, 877399, 662018, 779553, 727300, 729566, 651465, 805382, 664013, 809558, 678363, 754739, 197334, 678363, 954883, 674593]"
270750,"[664013, 819847, 723798, 659590, 689957]"
270751,"[779553, 998484]"
270752,"[719556, 689319]"
270753,[699628]
270754,"[677381, 484311]"
270755,[873992]
270756,[658244]
270757,[654312]
270758,"[663682, 869735, 725298, 723798, 654080, 659590]"
270759,[186500]
270760,[664013]
270761,"[993006, 790527, 688717]"
270762,[182512]
270763,[152195]
270764,[207706]
270765,[198673]
270766,"[491126, 491126, 499681, 495747, 495747, 499681, 499681, 504981, 491126, 491126, 499681]"
270767,"[661724, 951269, 672353, 939579, 818997, 652662, 665193]"
270768,"[975060, 664012, 670938, 848226, 725297]"
270769,"[673014, 659590, 651461]"
270770,"[660741, 706462]"
270771,"[656578, 723798]"
270772,"[665193, 661081, 847863, 772681, 727065]"
270773,[154234]
270774,[698094]
270775,"[658760, 725645, 728154]"
270776,"[651443, 659589, 729566, 671975]"
270777,"[652852, 700524, 658394, 729566, 869354]"
270778,"[946582, 688746]"
270779,"[659590, 698206]"
270780,"[669362, 656346, 665193, 659590, 727065, 660438, 722195, 664013, 955229, 869735, 847863]"
270781,[650858]
270782,"[730840, 912204]"
270783,"[754754, 726795, 762786, 733336, 706462, 999868]"
270784,"[661081, 729566, 671937, 702566, 719556, 724267, 702686]"
270785,"[885186, 729566]"
270787,"[701218, 698093, 669362]"
270788,[723907]
270789,[684610]
270790,"[663289, 702421]"
270791,[708395]
270794,"[664868, 732561]"
270795,[488106]
270797,[504851]
270798,"[656706, 661668, 656706, 730660]"
270799,"[702686, 724972, 665193]"
270800,"[725298, 999868, 998484]"
270801,[673161]
270802,"[776773, 696956, 725298, 188363, 180854, 656578, 658493, 724972, 484188, 7902]"
270803,"[727065, 716886, 706633]"
270804,"[662848, 700811, 819029, 658318, 659591, 824375]"
270805,[700570]
270806,"[819060, 755348]"
270807,"[484311, 680400, 835454, 887984, 797894, 688746, 887984, 729095, 176298]"
270808,[659590]
270809,[718445]
270810,"[702350, 723798, 681027, 776773]"
270811,[705186]
270812,"[681957, 819060]"
270813,[369694]
270814,"[755348, 722435, 661658]"
270815,[661872]
270816,"[711033, 835454, 804732, 729053, 999923, 729053]"
270817,"[665193, 727629, 671937, 663941, 915132, 692309, 702951, 722195, 776427]"
270818,[688678]
270819,[185291]
270820,"[154241, 713582, 693207, 713582]"
270821,"[200631, 450403, 400103]"
270822,[478404]
270823,[750521]
270824,[728605]
270825,[198755]
270826,"[656750, 662018, 776773, 679442, 714433, 484303, 496018, 496018, 722195]"
270827,"[767467, 651473, 707348, 770370, 496067, 122664, 672353, 496067, 770370, 488114, 672353, 654177, 703925, 818997, 915132]"
270828,"[156882, 719044, 706803, 484311]"
270829,[700514]
270830,[123430]
270831,"[659590, 651465, 726070, 729566, 754739, 664013, 659590, 662017]"
270832,"[654642, 700603]"
270833,"[177256, 482638, 139972]"
270834,[729620]
270835,[2]
270837,"[349662, 955419]"
